id_region	name_region	xcoord	ycoord	zcoord	poprisk	ncases
1	Abrantes	-5332.936493	-18739.44301	0	35377	17
2	Agueda	-24009.77557	100641.937	0	45992	65
3	Aguiar da Beira	50540.02485	122094.8462	0	4740	NA
4	Alandroal	60012.72226	-116382.1782	0	5064	NA
5	Albergaria-a-Velha	-29294.84805	113819.3784	0	24128	91
6	Albufeira	-8581.783225	-285532.7135	0	41123	76
7	Alcacer do Sal	-35022.49745	-147084.9542	0	11712	7
8	Alcanena	-46136.36495	-22444.54856	0	12860	9
9	Alcobaca	-73911.2386	-12173.58433	0	53641	40
10	Alcochete	-63526.17575	-105740.085	0	19505	23
11	Alcoutim	40198.17614	-244840.8112	0	2244	NA
12	Alenquer	-74655.55869	-67029.85515	0	43596	93
13	Alfandega da Fe	99151.14465	187032.3032	0	4568	6
14	Alijo	56350.35521	179659.5433	0	10703	4
15	Aljezur	-58508.10058	-262597.8555	0	5599	NA
16	Aljustrel	-1445.1392	-198964.5794	0	8285	NA
17	Almada	-89263.31233	-111803.1205	0	168987	396
18	Almeida	109682.1838	106069.6752	0	5926	4
19	Almeirim	-43361.87093	-53263.45203	0	22569	20
20	Almodovar	8702.752199	-239695.5742	0	6746	8
21	Alpiarca	-37765.28578	-47331.31287	0	7087	12
22	Alter do Chao	42127.22085	-52316.48603	0	3191	NA
23	Alvaiazere	-22432.19859	18067.82253	0	6626	24
24	Alvito	11136.85692	-160522.4818	0	2462	NA
25	Amadora	-94422.99586	-100483.9146	0	181724	861
26	Amarante	3835.902925	177540.1596	0	53366	97
27	Amares	-19362.50527	217500.4784	0	18114	78
28	Anadia	-26276.17997	86981.06186	0	27298	43
29	Ansiao	-25063.28032	29896.66795	0	12106	6
30	Arcos de Valdevez	-25063.90567	242216.6729	0	20970	73
31	Arganil	7156.912276	60301.32066	0	11068	8
32	Armamar	38325	158823.217	0	5792	NA
33	Arouca	-11859.09457	140883.6767	0	20861	41
34	Arraiolos	10458.80887	-100229.7662	0	6944	NA
35	Arronches	77004.08857	-63680.92782	0	2860	NA
36	Arruda dos Vinhos	-81153.4196	-74537.51438	0	15082	14
37	Aveiro	-40611.95342	106946.6656	0	77916	338
38	Avis	19913.00761	-66231.00042	0	4249	NA
39	Azambuja	-64971.8735	-60653.43458	0	22445	82
40	Baiao	12382.53415	164557.7068	0	18891	31
41	Barcelos	-39685.96776	208449.7804	0	116531	301
42	Barrancos	94748.63832	-168195.9314	0	1645	NA
43	Barreiro	-80835.38512	-113153.8766	0	75419	230
44	Batalha	-59947.73062	-947.8224922	0	15840	6
45	Beja	20208.57377	-183866.0134	0	33550	15
46	Belmonte	67468.66431	76758.59092	0	6407	NA
47	Benavente	-61410.55157	-92936.46656	0	30214	40
48	Bombarral	-89302.71798	-46042.09458	0	12533	4
49	Borba	59901.26619	-94984.62219	0	6790	NA
50	Boticas	39243.90366	225075.288	0	5059	NA
51	Braga	-23863.42509	208246.6846	0	181919	1225
52	Braganca	114302.8772	240136.3447	0	33586	121
53	Cabeceiras de Basto	8519.5195	204760.037	0	15699	18
54	Cadaval	-78324.50607	-49801.52594	0	13627	10
55	Caldas da Rainha	-81659.0364	-33028.08241	0	51540	29
