"nome_cc"	"x"	"y"	"objectid"	"cod"	"popres18"	"z"	"casos"
"1"	"Abrantes"	-5332.93649272	-18739.443005	1	"16I1401"	35377	0	17
"2"	"Águeda"	-24009.7755668	100641.936959	2	"16D0101"	45992	0	65
"3"	"Aguiar da Beira"	50540.02485	122094.846238	3	"16G0901"	4740	0	NA
"4"	"Alandroal"	60012.7222558	-116382.178235	4	"1870701"	5064	0	NA
"5"	"Albergaria-a-Velha"	-29294.8480476	113819.378442	5	"16D0102"	24128	0	91
"6"	"Albufeira"	-8581.78322468	-285532.713529	6	"1500801"	41123	0	76
"7"	"Alcácer do Sal"	-35022.49745	-147084.954224	7	"1811501"	11712	0	7
"8"	"Alcanena"	-46136.3649531	-22444.5485565	8	"16I1402"	12860	0	9
"9"	"Alcobaça"	-73911.2386036	-12173.5843347	9	"16B1001"	53641	0	40
"10"	"Alcochete"	-63526.17575	-105740.08503	10	"1701502"	19505	0	23
"11"	"Alcoutim"	40198.176143	-244840.811151	11	"1500802"	2244	0	NA
"12"	"Alenquer"	-74655.5586922	-67029.8551512	12	"16B1101"	43596	0	93
"13"	"Alfândega da Fé"	99151.1446454	187032.303163	13	"11E0401"	4568	0	6
"14"	"Alijó"	56350.3552121	179659.543299	14	"11D1701"	10703	0	4
"15"	"Aljezur"	-58508.1005837	-262597.85553	15	"1500803"	5599	0	NA
"16"	"Aljustrel"	-1445.13920002	-198964.579434	16	"1840201"	8285	0	NA
"17"	"Almada"	-89263.3123269	-111803.120514	17	"1701503"	168987	0	396
"18"	"Almeida"	109682.183755	106069.675158	18	"16J0902"	5926	0	4
"19"	"Almeirim"	-43361.8709303	-53263.4520276	19	"1851403"	22569	0	20
"20"	"Almodôvar"	8702.75219856	-239695.574191	20	"1840202"	6746	0	8
"21"	"Alpiarça"	-37765.2857767	-47331.3128737	21	"1851404"	7087	0	12
"22"	"Alter do Chão"	42127.2208497	-52316.4860324	22	"1861201"	3191	0	NA
"23"	"Alvaiázere"	-22432.1985895	18067.8225298	23	"16F1002"	6626	0	24
"24"	"Alvito"	11136.8569245	-160522.481798	24	"1840203"	2462	0	NA
"25"	"Amadora"	-94422.995863	-100483.914603	25	"1701115"	181724	0	861
"26"	"Amarante"	3835.902925	177540.159642	26	"11C1301"	53366	0	97
"27"	"Amares"	-19362.5052652	217500.478368	27	"1120301"	18114	0	78
"28"	"Anadia"	-26276.1799738	86981.0618643	28	"16D0103"	27298	0	43
"29"	"Ansião"	-25063.2803188	29896.6679478	29	"16F1003"	12106	0	6
"30"	"Arcos de Valdevez"	-25063.9056702	242216.672877	30	"1111601"	20970	0	73
"31"	"Arganil"	7156.91227563	60301.3206628	31	"16E0601"	11068	0	8
"32"	"Armamar"	38325	158823.216981	32	"11D1801"	5792	0	NA
"33"	"Arouca"	-11859.0945744	140883.67674	33	"11A0104"	20861	0	41
"34"	"Arraiolos"	10458.808868	-100229.766207	34	"1870702"	6944	0	NA
"35"	"Arronches"	77004.0885659	-63680.9278199	35	"1861202"	2860	0	NA
"36"	"Arruda dos Vinhos"	-81153.4196008	-74537.5143846	36	"16B1102"	15082	0	14
"37"	"Aveiro"	-40611.9534222	106946.665577	37	"16D0105"	77916	0	338
"38"	"Avis"	19913.0076107	-66231.0004201	38	"1861203"	4249	0	NA
"39"	"Azambuja"	-64971.8734957	-60653.4345833	39	"1851103"	22445	0	82
